URL,Title,Location,Salary,Summary
https://kr.indeed.com/jobs?jk=ef74e78d3182ece9,11번가 MySQL DBA 분야,서울 중구,,구축 및 운영 경험Oracle에서 MySQL및 NoSQL 로의 전환 경험 Python 등 운영 시 사용할 수 있는 간단한 언어에 대한 기술 보유자근무지... 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
https://kr.indeed.com/jobs?jk=192b2b6c0c585295,컨텐츠 제품화 플랫폼 백엔드 개발자,서울 강남구,,"년이상 우대)- Python / MySQL / API 개발 (back-end 개발)- OpenCV 개발 유경험자- 원활한 커뮤니케이션이 가능하신 분[우대조건]MySQL DBA 업무 경험자 (설계, 운영 등) Python Web..."
https://kr.indeed.com/jobs?jk=b89f542a12786755,Cloud 기술 전문가,서울 중구,,"래밍 기술[Terraform, Python, Ansible, JAVA, C... 프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신..."
https://kr.indeed.com/jobs?jk=c9b99315daa0a2d9,천재교과서 IT부문,서울 금천구,,웹개발|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>시스템엔지니어|인터넷·IT·통신·모바일·게임>네트워크...
https://kr.indeed.com/jobs?jk=b1ed4b7110bd017b,AI서비스 기획/개발 경력사원 공개채용,서울 상암동,,"머신러닝ㆍ딥러닝 알고리즘을 이용한 AI서비스 기획 및 개발 - 소프트웨어 개발 (C/C++/C#, Python 등 1개 이상) 우대사항 - 관련분야 석/박사 학위 소지자 또는 취득 예정자 - 미디어 AI서비스 기획..."
https://kr.indeed.com/jobs?jk=f5db967bfdd0390f,빅데이터 리더 정규직,안양 동안구,,모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일...
https://kr.indeed.com/jobs?jk=6141229c69b83068,Web Front-end 개발자,서울 서초구,,"Java Script, MariaDB 개발 플랫폼 : Visual Studio Code 우대 사항 : Python, Golang, RESTful API, Node.js, CSS, Docker, AWS, Azure, GCP..."
https://kr.indeed.com/jobs?jk=746abdcc1407ca49,임베디드 개발자,서울 송파구,,스템프로그래머>임베디드(Embedded)|인터넷·IT·통신·모바일·게임>시스템프로그래머>사물인터넷(IoT) 개발|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/jobs?jk=50cfedd941e94bd5,[Vueron] 딥러닝 엔지니어 - 자율주행/라이다 처리,서울 강남구,,"담당업무 자격요건 인원 [담당업무]- 라이다 인지 기술 개발 (C/ Python)- 딥러닝/머신러닝 솔루션 연구, 디자인, 개발- 딥러닝/머신러닝을... 러닝 관련 경험- C/C++ 또는 Python[우대사항]- 전자전기/컴퓨터..."
https://kr.indeed.com/jobs?jk=e66ee4c95785e5f9,[진행중] 우리은행 AI사업부 전문직(인공지능[AI] 모델링 자연어처리) 채용공고,서울 회현동,,"이상 충족) - NLP, TA(Text Analysis) 등 자연어 처리 관련 프로젝트 경험 보유 - Python, R 등 프로그래밍 활용 역량 보유 - 딥러닝 프레임워크(Tensorflow, PyTorch 등) 기반..."
